Frequency,Log Magnitude,Phase
1093000000.0,-13.59350742,50.32708772
1094000000.0,-13.60497421,48.86888942
1095000000.0,-13.62091414,47.43999865
1096000000.0,-13.63087549,46.04541253
1097000000.0,-13.6414523,44.69511747
1098000000.0,-13.64206805,43.38471676
1099000000.0,-13.6296887,42.06488561
1100000000.0,-13.60639541,40.69952521
1101000000.0,-13.57939987,39.27184401
1102000000.0,-13.55148597,37.78138159
1103000000.0,-13.51723527,36.22290302
1104000000.0,-13.49309675,34.60364148
1105000000.0,-13.47224293,32.94083337
1106000000.0,-13.45916034,31.25289449
1107000000.0,-13.45188565,29.55693682
1108000000.0,-13.45046579,27.83064443
1109000000.0,-13.45799232,26.11497618
1110000000.0,-13.47393359,24.45886022
1111000000.0,-13.49472965,22.83319096
1112000000.0,-13.51001376,21.29596862
1113000000.0,-13.51704776,19.773939
1114000000.0,-13.51360338,18.26998038
1115000000.0,-13.50477264,16.74996822
1116000000.0,-13.49159715,15.16600746
1117000000.0,-13.47307199,13.54501811
1118000000.0,-13.45723084,11.86975772
1119000000.0,-13.4425124,10.15988443
1120000000.0,-13.43002337,8.412924782
1121000000.0,-13.42555919,6.623715983
1122000000.0,-13.42301587,4.828205764
1123000000.0,-13.42957231,3.058013204
1124000000.0,-13.43872143,1.325486358
1125000000.0,-13.44407023,-0.4213725467
1126000000.0,-13.44699642,-2.163618743
1127000000.0,-13.44758945,-3.897857579
1128000000.0,-13.44224361,-5.661778389
1129000000.0,-13.43564715,-7.48146904
1130000000.0,-13.43540096,-9.362267162
1131000000.0,-13.44285893,-11.26297905
1132000000.0,-13.45017382,-13.1738921
1133000000.0,-13.46423509,-15.09746665
1134000000.0,-13.48485167,-17.01485219
1135000000.0,-13.50891838,-18.96434255
1136000000.0,-13.53588684,-20.8691617
1137000000.0,-13.56932684,-22.79731658
1138000000.0,-13.60589131,-24.72882251
1139000000.0,-13.64719343,-26.62210407
1140000000.0,-13.69345006,-28.52471971
1141000000.0,-13.74268771,-30.40398597
1142000000.0,-13.79500466,-32.27115578
1143000000.0,-13.85013324,-34.09160801
1144000000.0,-13.90936141,-35.89584915
1145000000.0,-13.96893452,-37.65136729
1146000000.0,-14.02933423,-39.37405376
1147000000.0,-14.08726826,-41.10661561
1148000000.0,-14.14723031,-42.77903893
1149000000.0,-14.20487507,-44.42231034
1150000000.0,-14.25988314,-46.00901402
1151000000.0,-14.30605411,-47.6139946
1152000000.0,-14.34708036,-49.21561475
1153000000.0,-14.38849861,-50.84657235
1154000000.0,-14.43576138,-52.4647482
1155000000.0,-14.48495255,-54.04804393
1156000000.0,-14.52784797,-55.56568294
1157000000.0,-14.56117428,-57.04264607
1158000000.0,-14.58217353,-58.53611033
1159000000.0,-14.59943641,-60.07217543
1160000000.0,-14.61233798,-61.63221116
1161000000.0,-14.61958907,-63.23714326
1162000000.0,-14.62503359,-64.86288718
1163000000.0,-14.63062319,-66.52601799
1164000000.0,-14.63236581,-68.22637052
1165000000.0,-14.6316308,-69.96154781
1166000000.0,-14.63591707,-71.76960508
1167000000.0,-14.64454194,-73.67064143
1168000000.0,-14.66752471,-75.56841215
1169000000.0,-14.70209634,-77.45841829
1170000000.0,-14.74114603,-79.29760153
1171000000.0,-14.7845272,-81.0985243
1172000000.0,-14.82600514,-82.90010373
1173000000.0,-14.87419923,-84.66262733
1174000000.0,-14.92343043,-86.40892102
1175000000.0,-14.97617255,-88.10218212
1176000000.0,-15.02637013,-89.72233156
1177000000.0,-15.07378752,-91.30812913
1178000000.0,-15.1106038,-92.82242727
1179000000.0,-15.13840042,-94.36088773
1180000000.0,-15.15437929,-95.86138381
1181000000.0,-15.16138684,-97.42047935
1182000000.0,-15.16123047,-98.97268542
1183000000.0,-15.15027624,-100.6024129
1184000000.0,-15.12847072,-102.3058708
1185000000.0,-15.10285187,-104.1193063
1186000000.0,-15.0845666,-106.0586503
1187000000.0,-15.07529147,-108.0862811
1188000000.0,-15.07739739,-110.1613541
1189000000.0,-15.08984706,-112.3109056
1190000000.0,-15.11577868,-114.494605
1191000000.0,-15.15375178,-116.6868396
1192000000.0,-15.21014865,-118.870899
1193000000.0,-15.28322421,-121.0105018
1194000000.0,-15.36286759,-123.1106329
1195000000.0,-15.45320242,-125.1369348
1196000000.0,-15.54992869,-127.1097524
1197000000.0,-15.65587098,-129.031147
1198000000.0,-15.7649602,-130.8633993
1199000000.0,-15.87894667,-132.6094177
1200000000.0,-15.98846064,-134.2582478
1201000000.0,-16.09716342,-135.8250018
1202000000.0,-16.19831985,-137.3026688
1203000000.0,-16.28681675,-138.7025736
1204000000.0,-16.35911406,-140.0753645
1205000000.0,-16.41075007,-141.4395115
1206000000.0,-16.45504029,-142.8841316
1207000000.0,-16.49571885,-144.3942021
1208000000.0,-16.5373563,-145.995615
1209000000.0,-16.58545031,-147.5568723
1210000000.0,-16.63689318,-149.143785
1211000000.0,-16.68815878,-150.6859555
1212000000.0,-16.73432123,-152.2295141
1213000000.0,-16.77086018,-153.7586275
1214000000.0,-16.80357205,-155.3179204
1215000000.0,-16.8384595,-156.9540657
1216000000.0,-16.87154787,-158.563204
1217000000.0,-16.90474051,-160.2069036
1218000000.0,-16.9366554,-161.8567126
1219000000.0,-16.96568833,-163.5247582
1220000000.0,-16.99593659,-165.2221295
1221000000.0,-17.02143159,-166.9605064
1222000000.0,-17.04671474,-168.7703421
1223000000.0,-17.07648565,-170.6193415
1224000000.0,-17.1118613,-172.5295952
1225000000.0,-17.15709517,-174.4873394
1226000000.0,-17.2131668,-176.4290244
1227000000.0,-17.28274384,-178.3558109
1228000000.0,-17.35169142,179.7962541
1229000000.0,-17.42235505,177.9772846
1230000000.0,-17.48668716,176.1653969
1231000000.0,-17.54319068,174.3706013
1232000000.0,-17.58946286,172.522192
1233000000.0,-17.64061158,170.5947815
1234000000.0,-17.68847367,168.5445562
1235000000.0,-17.75200262,166.4383794
1236000000.0,-17.82839729,164.2769409
1237000000.0,-17.92683967,162.1211443
1238000000.0,-18.03589375,160.0114132
1239000000.0,-18.15178449,157.944652
1240000000.0,-18.27782324,155.9059568
1241000000.0,-18.41146345,153.9465605
1242000000.0,-18.54032669,152.0344458
1243000000.0,-18.6695435,150.1662287
1244000000.0,-18.79792496,148.3496422
1245000000.0,-18.91910697,146.5109253
1246000000.0,-19.02763163,144.6322569
1247000000.0,-19.14450368,142.6848643
